promotion_id,month,category,promotion_type,discount_rate,coupon_cost_share,min_purchase_amount,promotion_goal
PR00075,2025-11,智能小家电,会员券,0.2,1.0,199,促活
PR00076,2025-11,厨房电器,满减,0.25,0.3,399,清库存
PR00077,2025-11,厨房电器,直降,0.1,1.0,0,清库存
PR00078,2025-11,厨房电器,会员券,0.1,0.7,699,提升客单
PR00079,2025-11,生活电器,满减,0.05,0.3,199,拉新
PR00080,2025-11,生活电器,直降,0.15,0.5,399,促活
PR00081,2025-11,生活电器,会员券,0.15,1.0,399,提升客单
PR00082,2025-11,个护健康,满减,0.2,0.7,399,促活
PR00083,2025-11,个护健康,直降,0.05,1.0,199,促活
PR00084,2025-11,个护健康,会员券,0.1,0.7,999,清库存
PR00085,2025-11,影音娱乐,满减,0.08,0.7,199,促活
PR00086,2025-11,影音娱乐,直降,0.05,0.3,699,清库存
PR00087,2025-11,影音娱乐,会员券,0.05,0.3,0,提升客单
PR00088,2025-11,智能家居,满减,0.25,0.7,0,拉新
PR00089,2025-11,智能家居,直降,0.2,0.7,399,提升客单
PR00090,2025-11,智能家居,会员券,0.1,0.3,199,清库存
PR00091,2025-11,数码配件,满减,0.1,0.7,999,拉新
PR00092,2025-11,数码配件,直降,0.25,1.0,999,清库存
PR00093,2025-11,数码配件,会员券,0.2,0.7,999,拉新
PR00094,2025-11,办公设备,满减,0.08,0.5,199,清库存
PR00095,2025-11,办公设备,直降,0.2,0.5,399,拉新
PR00096,2025-11,办公设备,会员券,0.05,1.0,399,促活
PR00097,2025-12,智能小家电,满减,0.15,0.3,699,清库存
PR00098,2025-12,智能小家电,直降,0.05,0.7,0,清库存
PR00099,2025-12,智能小家电,会员券,0.1,1.0,0,提升客单
PR00100,2025-12,厨房电器,满减,0.1,1.0,0,提升客单
PR00101,2025-12,厨房电器,直降,0.25,0.3,0,清库存
PR00102,2025-12,厨房电器,会员券,0.25,0.7,399,促活
PR00103,2025-12,生活电器,满减,0.1,0.3,699,清库存
PR00104,2025-12,生活电器,直降,0.15,0.5,999,拉新
PR00105,2025-12,生活电器,会员券,0.05,1.0,999,提升客单
PR00106,2025-12,个护健康,满减,0.08,1.0,0,促活
PR00107,2025-12,个护健康,直降,0.08,0.5,399,清库存
PR00108,2025-12,个护健康,会员券,0.15,0.5,699,促活
PR00109,2025-12,影音娱乐,满减,0.25,0.3,399,促活
PR00110,2025-12,影音娱乐,直降,0.1,0.5,199,清库存
PR00111,2025-12,影音娱乐,会员券,0.2,0.5,999,促活
PR00112,2025-12,智能家居,满减,0.1,1.0,0,清库存
PR00113,2025-12,智能家居,直降,0.08,0.7,999,促活
PR00114,2025-12,智能家居,会员券,0.05,0.5,0,清库存
PR00115,2025-12,数码配件,满减,0.08,0.7,399,清库存
PR00116,2025-12,数码配件,直降,0.08,0.3,399,促活
PR00117,2025-12,数码配件,会员券,0.1,1.0,199,促活
PR00118,2025-12,办公设备,满减,0.25,1.0,699,拉新
PR00119,2025-12,办公设备,直降,0.25,0.7,199,提升客单
PR00120,2025-12,办公设备,会员券,0.05,0.3,999,促活
PR00121,2026-01,智能小家电,满减,0.1,1.0,199,提升客单
PR00122,2026-01,智能小家电,直降,0.05,0.3,999,拉新
PR00123,2026-01,智能小家电,会员券,0.05,0.5,399,清库存
PR00124,2026-01,厨房电器,满减,0.08,0.5,999,提升客单
PR00125,2026-01,厨房电器,直降,0.25,0.3,199,提升客单
PR00126,2026-01,厨房电器,会员券,0.08,0.3,999,促活
PR00127,2026-01,生活电器,满减,0.25,0.7,199,拉新
PR00128,2026-01,生活电器,直降,0.2,0.7,699,拉新
PR00129,2026-01,生活电器,会员券,0.25,0.3,0,提升客单
PR00130,2026-01,个护健康,满减,0.08,0.7,699,拉新
PR00131,2026-01,个护健康,直降,0.05,0.3,999,拉新
PR00132,2026-01,个护健康,会员券,0.08,0.5,0,促活
PR00133,2026-01,影音娱乐,满减,0.25,0.7,399,促活
PR00134,2026-01,影音娱乐,直降,0.1,0.3,0,提升客单
PR00135,2026-01,影音娱乐,会员券,0.25,0.3,199,清库存
PR00136,2026-01,智能家居,满减,0.1,0.5,699,提升客单
PR00137,2026-01,智能家居,直降,0.15,0.7,199,清库存
PR00138,2026-01,智能家居,会员券,0.2,1.0,0,提升客单
PR00139,2026-01,数码配件,满减,0.25,0.3,999,清库存
PR00140,2026-01,数码配件,直降,0.25,1.0,699,清库存
PR00141,2026-01,数码配件,会员券,0.2,1.0,199,清库存
PR00142,2026-01,办公设备,满减,0.05,0.7,699,提升客单
PR00143,2026-01,办公设备,直降,0.2,0.5,999,提升客单
PR00144,2026-01,办公设备,会员券,0.2,0.5,399,清库存
PR00145,2026-02,智能小家电,满减,0.1,0.7,699,提升客单
PR00146,2026-02,智能小家电,直降,0.15,0.7,399,清库存
PR00147,2026-02,智能小家电,会员券,0.1,0.7,399,提升客单
PR00148,2026-02,厨房电器,满减,0.05,0.7,999,清库存
PR00149,2026-02,厨房电器,直降,0.25,0.3,199,促活
PR00150,2026-02,厨房电器,会员券,0.15,0.3,999,拉新
PR00151,2026-02,生活电器,满减,0.1,0.5,399,清库存
PR00152,2026-02,生活电器,直降,0.08,0.5,199,促活
PR00153,2026-02,生活电器,会员券,0.2,0.3,699,清库存
PR00154,2026-02,个护健康,满减,0.05,0.5,199,提升客单
PR00155,2026-02,个护健康,直降,0.05,0.7,0,促活
PR00156,2026-02,个护健康,会员券,0.08,0.7,999,促活
PR00157,2026-02,影音娱乐,满减,0.08,0.7,999,拉新
PR00158,2026-02,影音娱乐,直降,0.05,0.7,999,提升客单
PR00159,2026-02,影音娱乐,会员券,0.05,0.3,0,促活
PR00160,2026-02,智能家居,满减,0.05,0.5,199,提升客单
PR00161,2026-02,智能家居,直降,0.08,0.7,699,促活
PR00162,2026-02,智能家居,会员券,0.2,0.5,699,清库存
PR00163,2026-02,数码配件,满减,0.05,1.0,699,拉新
PR00164,2026-02,数码配件,直降,0.05,0.7,399,清库存
PR00165,2026-02,数码配件,会员券,0.15,0.3,999,促活
PR00166,2026-02,办公设备,满减,0.05,0.7,399,清库存
PR00167,2026-02,办公设备,直降,0.25,0.7,999,清库存
PR00168,2026-02,办公设备,会员券,0.1,0.3,699,提升客单
PR00169,2026-03,智能小家电,满减,0.25,0.5,0,促活
PR00170,2026-03,智能小家电,直降,0.15,0.5,999,清库存
PR00171,2026-03,智能小家电,会员券,0.25,0.5,699,提升客单
PR00172,2026-03,厨房电器,满减,0.08,0.7,0,清库存
PR00173,2026-03,厨房电器,直降,0.1,1.0,999,促活
PR00174,2026-03,厨房电器,会员券,0.05,0.5,0,清库存
PR00175,2026-03,生活电器,满减,0.08,0.7,999,清库存
PR00176,2026-03,生活电器,直降,0.05,0.5,0,促活
PR00177,2026-03,生活电器,会员券,0.25,1.0,999,拉新
PR00178,2026-03,个护健康,满减,0.08,0.5,0,促活
PR00179,2026-03,个护健康,直降,0.2,0.3,999,拉新
PR00180,2026-03,个护健康,会员券,0.08,0.3,0,提升客单
PR00181,2026-03,影音娱乐,满减,0.15,1.0,999,提升客单
PR00182,2026-03,影音娱乐,直降,0.25,0.3,999,清库存
PR00183,2026-03,影音娱乐,会员券,0.05,0.7,399,提升客单
PR00184,2026-03,智能家居,满减,0.08,0.5,199,提升客单
PR00185,2026-03,智能家居,直降,0.08,1.0,0,促活
PR00186,2026-03,智能家居,会员券,0.25,0.3,999,提升客单
PR00187,2026-03,数码配件,满减,0.1,0.3,199,促活
PR00188,2026-03,数码配件,直降,0.05,0.7,999,拉新
PR00189,2026-03,数码配件,会员券,0.08,0.5,699,提升客单
PR00190,2026-03,办公设备,满减,0.1,0.5,199,提升客单
PR00191,2026-03,办公设备,直降,0.25,0.3,199,促活
PR00192,2026-03,办公设备,会员券,0.25,0.7,0,提升客单
PR00193,2026-04,智能小家电,满减,0.1,0.5,699,促活
PR00194,2026-04,智能小家电,直降,0.08,0.3,0,拉新
PR00195,2026-04,智能小家电,会员券,0.15,0.5,199,清库存
PR00196,2026-04,厨房电器,满减,0.05,1.0,399,提升客单
PR00197,2026-04,厨房电器,直降,0.1,0.5,699,提升客单
PR00198,2026-04,厨房电器,会员券,0.25,1.0,199,清库存
PR00199,2026-04,生活电器,满减,0.1,1.0,399,清库存
PR00200,2026-04,生活电器,直降,0.1,0.3,399,拉新
PR00201,2026-04,生活电器,会员券,0.1,1.0,999,清库存
PR00202,2026-04,个护健康,满减,0.08,0.7,699,提升客单
PR00203,2026-04,个护健康,直降,0.1,0.3,699,清库存
PR00204,2026-04,个护健康,会员券,0.05,0.3,399,清库存
PR00205,2026-04,影音娱乐,满减,0.15,0.5,999,提升客单
PR00206,2026-04,影音娱乐,直降,0.25,0.5,999,拉新
PR00207,2026-04,影音娱乐,会员券,0.15,0.5,199,清库存
PR00208,2026-04,智能家居,满减,0.25,0.3,199,拉新
PR00209,2026-04,智能家居,直降,0.08,0.3,399,提升客单
PR00210,2026-04,智能家居,会员券,0.25,0.3,699,清库存
PR00211,2026-04,数码配件,满减,0.05,0.3,199,清库存
PR00212,2026-04,数码配件,直降,0.08,0.3,399,提升客单
PR00213,2026-04,数码配件,会员券,0.1,0.5,999,拉新
PR00214,2026-04,办公设备,满减,0.25,1.0,0,拉新
PR00215,2026-04,办公设备,直降,0.1,1.0,0,拉新
PR00216,2026-04,办公设备,会员券,0.08,0.5,0,拉新
PR00217,2026-05,智能小家电,满减,0.08,0.3,399,促活
PR00218,2026-05,智能小家电,直降,0.2,0.3,999,拉新
PR00219,2026-05,智能小家电,会员券,0.15,0.7,699,拉新
PR00220,2026-05,厨房电器,满减,0.1,1.0,199,提升客单
PR00221,2026-05,厨房电器,直降,0.05,0.7,399,促活
PR00222,2026-05,厨房电器,会员券,0.05,0.7,199,提升客单
PR00223,2026-05,生活电器,满减,0.15,0.5,0,拉新
PR00224,2026-05,生活电器,直降,0.25,0.3,199,促活
PR00225,2026-05,生活电器,会员券,0.05,0.3,399,提升客单
PR00226,2026-05,个护健康,满减,0.05,0.3,699,拉新
PR00227,2026-05,个护健康,直降,0.25,1.0,999,促活
PR00228,2026-05,个护健康,会员券,0.08,0.7,199,清库存
PR00229,2026-05,影音娱乐,满减,0.1,0.3,999,拉新
PR00230,2026-05,影音娱乐,直降,0.2,0.5,199,提升客单
PR00231,2026-05,影音娱乐,会员券,0.05,0.5,699,清库存
PR00232,2026-05,智能家居,满减,0.15,1.0,199,清库存
PR00233,2026-05,智能家居,直降,0.15,0.5,0,促活
PR00234,2026-05,智能家居,会员券,0.2,0.7,0,提升客单
PR00235,2026-05,数码配件,满减,0.1,0.5,0,提升客单
PR00236,2026-05,数码配件,直降,0.1,1.0,999,拉新
PR00237,2026-05,数码配件,会员券,0.2,0.3,0,清库存
PR00238,2026-05,办公设备,满减,0.25,1.0,999,提升客单
PR00239,2026-05,办公设备,直降,0.08,0.5,699,清库存
PR00240,2026-05,办公设备,会员券,0.2,0.7,699,提升客单
PR00241,2026-06,智能小家电,满减,0.1,1.0,699,促活
PR00242,2026-06,智能小家电,直降,0.25,1.0,199,促活
PR00243,2026-06,智能小家电,会员券,0.2,1.0,399,拉新
PR00244,2026-06,厨房电器,满减,0.1,0.3,699,促活
PR00245,2026-06,厨房电器,直降,0.25,0.7,199,清库存
PR00246,2026-06,厨房电器,会员券,0.1,1.0,199,拉新
PR00247,2026-06,生活电器,满减,0.1,0.5,399,提升客单
PR00248,2026-06,生活电器,直降,0.15,0.7,999,提升客单
PR00249,2026-06,生活电器,会员券,0.2,1.0,199,清库存
PR00250,2026-06,个护健康,满减,0.08,0.7,399,拉新
PR00251,2026-06,个护健康,直降,0.05,1.0,0,清库存
PR00252,2026-06,个护健康,会员券,0.25,0.5,999,提升客单
PR00253,2026-06,影音娱乐,满减,0.1,0.3,699,拉新
PR00254,2026-06,影音娱乐,直降,0.05,0.7,0,拉新
PR00255,2026-06,影音娱乐,会员券,0.05,0.7,699,拉新
PR00256,2026-06,智能家居,满减,0.15,0.5,399,清库存
PR00257,2026-06,智能家居,直降,0.1,0.7,999,拉新
PR00258,2026-06,智能家居,会员券,0.1,0.5,0,促活
PR00259,2026-06,数码配件,满减,0.08,0.7,699,拉新
PR00260,2026-06,数码配件,直降,0.2,1.0,199,拉新
PR00261,2026-06,数码配件,会员券,0.1,0.5,0,拉新
PR00262,2026-06,办公设备,满减,0.1,0.7,199,清库存
PR00263,2026-06,办公设备,直降,0.15,0.7,199,提升客单
PR00264,2026-06,办公设备,会员券,0.1,1.0,199,清库存
PR00265,2026-07,智能小家电,满减,0.25,1.0,699,提升客单
PR00266,2026-07,智能小家电,直降,0.15,1.0,0,清库存
PR00267,2026-07,智能小家电,会员券,0.05,0.5,399,提升客单
PR00268,2026-07,厨房电器,满减,0.05,0.3,999,提升客单
PR00269,2026-07,厨房电器,直降,0.05,0.7,399,提升客单
PR00270,2026-07,厨房电器,会员券,0.1,0.3,199,促活
PR00271,2026-07,生活电器,满减,0.1,0.3,199,清库存
PR00272,2026-07,生活电器,直降,0.15,0.7,0,促活
PR00273,2026-07,生活电器,会员券,0.05,0.7,999,提升客单
PR00274,2026-07,个护健康,满减,0.05,0.5,0,提升客单
PR00275,2026-07,个护健康,直降,0.05,0.5,699,清库存
PR00276,2026-07,个护健康,会员券,0.05,0.7,399,促活
PR00277,2026-07,影音娱乐,满减,0.05,1.0,999,促活
PR00278,2026-07,影音娱乐,直降,0.1,1.0,399,提升客单
PR00279,2026-07,影音娱乐,会员券,0.15,0.7,0,清库存
PR00280,2026-07,智能家居,满减,0.25,0.7,199,促活
PR00281,2026-07,智能家居,直降,0.15,0.5,0,拉新
PR00282,2026-07,智能家居,会员券,0.05,0.7,0,提升客单
PR00283,2026-07,数码配件,满减,0.1,0.7,399,拉新
PR00284,2026-07,数码配件,直降,0.2,1.0,399,促活
PR00285,2026-07,数码配件,会员券,0.08,0.3,399,清库存
PR00286,2026-07,办公设备,满减,0.25,1.0,999,促活
PR00287,2026-07,办公设备,直降,0.05,1.0,399,拉新
PR00288,2026-07,办公设备,会员券,0.2,0.5,999,促活
