product_id,product_name,category,brand,list_price,unit_cost,launch_month,lifecycle_stage,supplier_id
P00024,办公设备-024,办公设备,品牌09,2107.64,1079.89,2025-10,成熟,S025
P00025,智能小家电-025,智能小家电,品牌16,761.09,462.77,2026-02,尾货,S026
P00026,厨房电器-026,厨房电器,品牌03,1741.52,1004.3,2026-02,成长,S027
P00027,生活电器-027,生活电器,品牌10,737.87,483.16,2025-08,尾货,S028
P00028,个护健康-028,个护健康,品牌17,290.75,168.61,2026-03,成长,S029
P00029,影音娱乐-029,影音娱乐,品牌04,2958.62,1567.07,2025-08,成熟,S030
P00030,智能家居-030,智能家居,品牌11,814.52,472.8,2025-09,成熟,S031
P00031,数码配件-031,数码配件,品牌18,320.86,223.82,2026-03,新品,S032
P00032,办公设备-032,办公设备,品牌05,2544.02,1734.13,2025-08,成长,S033
P00033,智能小家电-033,智能小家电,品牌12,1313.62,702.02,2025-10,成熟,S034
P00034,厨房电器-034,厨房电器,品牌19,2110.07,1296.75,2025-12,成长,S035
P00035,生活电器-035,生活电器,品牌06,769.76,394.21,2025-10,成熟,S036
P00036,个护健康-036,个护健康,品牌13,435.28,262.71,2025-08,成长,S037
P00037,影音娱乐-037,影音娱乐,品牌20,1175.15,713.41,2025-08,成熟,S038
P00038,智能家居-038,智能家居,品牌07,1392.26,730.65,2025-12,成长,S039
P00039,数码配件-039,数码配件,品牌14,162.27,96.03,2025-09,成长,S040
P00040,办公设备-040,办公设备,品牌01,1655.61,928.25,2025-10,成长,S041
P00041,智能小家电-041,智能小家电,品牌08,646.42,463.57,2026-03,成熟,S042
P00042,厨房电器-042,厨房电器,品牌15,2088.09,1158.58,2026-02,成熟,S043
P00043,生活电器-043,生活电器,品牌02,431.73,299.7,2025-10,成熟,S044
P00044,个护健康-044,个护健康,品牌09,283.16,180.93,2025-10,尾货,S045
P00045,影音娱乐-045,影音娱乐,品牌16,2183.73,1106.4,2026-01,成长,S001
P00046,智能家居-046,智能家居,品牌03,1522.34,1088.76,2025-09,成长,S002
P00047,数码配件-047,数码配件,品牌10,215.11,135.82,2025-09,尾货,S003
P00048,办公设备-048,办公设备,品牌17,2008.23,1368.21,2026-02,成长,S004
P00049,智能小家电-049,智能小家电,品牌04,609.83,419.34,2025-12,成熟,S005
P00050,厨房电器-050,厨房电器,品牌11,923.69,467.97,2025-09,成长,S006
P00051,生活电器-051,生活电器,品牌18,445.6,245.13,2025-11,成长,S007
P00052,个护健康-052,个护健康,品牌05,735.07,442.87,2025-08,成熟,S008
P00053,影音娱乐-053,影音娱乐,品牌12,1919.01,1183.71,2025-08,成熟,S009
P00054,智能家居-054,智能家居,品牌19,1242.75,745.11,2026-03,新品,S010
P00055,数码配件-055,数码配件,品牌06,145.05,75.22,2026-01,成熟,S011
P00056,办公设备-056,办公设备,品牌13,2315.17,1581.59,2025-12,新品,S012
P00057,智能小家电-057,智能小家电,品牌20,990.46,581.02,2026-01,成长,S013
P00058,厨房电器-058,厨房电器,品牌07,981.6,545.35,2025-12,成长,S014
P00059,生活电器-059,生活电器,品牌14,767.1,391.41,2025-12,成熟,S015
P00060,个护健康-060,个护健康,品牌01,486.25,245.47,2026-01,尾货,S016
P00061,影音娱乐-061,影音娱乐,品牌08,1950.97,1388.56,2025-10,成熟,S017
P00062,智能家居-062,智能家居,品牌15,686.77,407.08,2026-02,成长,S018
P00063,数码配件-063,数码配件,品牌02,267.8,157.68,2025-08,成长,S019
P00064,办公设备-064,办公设备,品牌09,1635.69,866.22,2026-01,成熟,S020
P00065,智能小家电-065,智能小家电,品牌16,875.62,599.38,2026-02,成长,S021
P00066,厨房电器-066,厨房电器,品牌03,2112.72,1232.01,2026-01,成长,S022
P00067,生活电器-067,生活电器,品牌10,945.0,611.53,2026-02,成长,S023
P00068,个护健康-068,个护健康,品牌17,525.55,308.21,2025-09,新品,S024
P00069,影音娱乐-069,影音娱乐,品牌04,3094.64,2052.0,2026-03,新品,S025
P00070,智能家居-070,智能家居,品牌11,1234.25,742.06,2025-10,成长,S026
P00071,数码配件-071,数码配件,品牌18,179.34,94.11,2025-08,成熟,S027
P00072,办公设备-072,办公设备,品牌05,1040.29,508.09,2026-01,成熟,S028
P00073,智能小家电-073,智能小家电,品牌12,908.11,468.81,2026-03,成熟,S029
P00074,厨房电器-074,厨房电器,品牌19,1188.91,761.93,2026-02,成熟,S030
P00075,生活电器-075,生活电器,品牌06,423.94,284.4,2025-11,成熟,S031
P00076,个护健康-076,个护健康,品牌13,563.18,352.27,2026-01,成熟,S032
P00077,影音娱乐-077,影音娱乐,品牌20,1568.77,938.2,2026-03,成长,S033
P00078,智能家居-078,智能家居,品牌07,698.81,359.34,2025-12,成熟,S034
P00079,数码配件-079,数码配件,品牌14,233.7,117.63,2025-09,尾货,S035
P00080,办公设备-080,办公设备,品牌01,1138.51,605.71,2025-11,成熟,S036
P00081,智能小家电-081,智能小家电,品牌08,578.54,297.26,2025-09,新品,S037
P00082,厨房电器-082,厨房电器,品牌15,960.23,625.96,2025-11,成长,S038
P00083,生活电器-083,生活电器,品牌02,832.62,415.5,2026-01,成熟,S039
P00084,个护健康-084,个护健康,品牌09,313.53,178.21,2026-02,成熟,S040
P00085,影音娱乐-085,影音娱乐,品牌16,1733.01,1042.8,2025-10,成熟,S041
P00086,智能家居-086,智能家居,品牌03,1099.55,550.5,2026-02,成熟,S042
P00087,数码配件-087,数码配件,品牌10,322.79,190.14,2025-11,成熟,S043
P00088,办公设备-088,办公设备,品牌17,2223.98,1357.97,2025-12,成长,S044
P00089,智能小家电-089,智能小家电,品牌04,1173.43,837.13,2026-01,新品,S045
P00090,厨房电器-090,厨房电器,品牌11,1151.67,635.7,2026-01,成长,S001
P00091,生活电器-091,生活电器,品牌18,752.12,459.09,2026-03,尾货,S002
P00092,个护健康-092,个护健康,品牌05,278.08,169.28,2025-08,成熟,S003
P00093,影音娱乐-093,影音娱乐,品牌12,2873.39,1876.14,2025-08,成熟,S004
P00094,智能家居-094,智能家居,品牌19,976.74,513.76,2025-11,成熟,S005
P00095,数码配件-095,数码配件,品牌06,200.11,133.08,2025-11,成熟,S006
P00096,办公设备-096,办公设备,品牌13,1833.05,982.84,2026-02,新品,S007
P00097,智能小家电-097,智能小家电,品牌20,1419.45,945.6,2025-11,新品,S008
P00098,厨房电器-098,厨房电器,品牌07,797.49,500.02,2025-08,成长,S009
P00099,生活电器-099,生活电器,品牌14,606.56,399.46,2025-12,成熟,S010
P00100,个护健康-100,个护健康,品牌01,736.64,468.0,2025-11,尾货,S011
P00101,影音娱乐-101,影音娱乐,品牌08,1291.6,703.23,2025-11,成熟,S012
P00102,智能家居-102,智能家居,品牌15,987.57,606.67,2026-03,成熟,S013
P00103,数码配件-103,数码配件,品牌02,245.98,119.24,2026-03,成熟,S014
P00104,办公设备-104,办公设备,品牌09,1899.7,1259.33,2026-02,新品,S015
P00105,智能小家电-105,智能小家电,品牌16,566.79,394.5,2025-12,成长,S016
P00106,厨房电器-106,厨房电器,品牌03,1469.76,714.51,2026-01,成熟,S017
P00107,生活电器-107,生活电器,品牌10,641.9,381.03,2026-01,成熟,S018
P00108,个护健康-108,个护健康,品牌17,435.78,287.32,2025-10,成熟,S019
P00109,影音娱乐-109,影音娱乐,品牌04,2980.18,2068.81,2025-08,成熟,S020
P00110,智能家居-110,智能家居,品牌11,1591.62,926.89,2026-03,新品,S021
P00111,数码配件-111,数码配件,品牌18,204.22,143.4,2025-08,成熟,S022
P00112,办公设备-112,办公设备,品牌05,1539.63,779.57,2026-02,成长,S023
P00113,智能小家电-113,智能小家电,品牌12,1482.18,739.58,2026-01,成熟,S024
P00114,厨房电器-114,厨房电器,品牌19,1453.58,946.57,2025-11,成熟,S025
P00115,生活电器-115,生活电器,品牌06,816.61,402.99,2025-08,成长,S026
P00116,个护健康-116,个护健康,品牌13,578.32,410.41,2025-09,成长,S027
P00117,影音娱乐-117,影音娱乐,品牌20,2952.51,2038.26,2025-12,新品,S028
P00118,智能家居-118,智能家居,品牌07,1239.37,599.72,2026-03,尾货,S029
P00119,数码配件-119,数码配件,品牌14,204.69,115.48,2026-02,成熟,S030
P00120,办公设备-120,办公设备,品牌01,1237.11,721.28,2026-02,成长,S031
P00121,智能小家电-121,智能小家电,品牌08,667.9,439.68,2025-12,新品,S032
P00122,厨房电器-122,厨房电器,品牌15,1475.81,878.12,2025-09,成长,S033
P00123,生活电器-123,生活电器,品牌02,1068.16,755.33,2025-12,成熟,S034
P00124,个护健康-124,个护健康,品牌09,477.09,293.96,2025-11,成熟,S035
P00125,影音娱乐-125,影音娱乐,品牌16,1380.98,817.75,2026-02,成熟,S036
P00126,智能家居-126,智能家居,品牌03,1672.82,913.96,2025-10,新品,S037
P00127,数码配件-127,数码配件,品牌10,163.74,88.48,2025-09,成长,S038
P00128,办公设备-128,办公设备,品牌17,2548.23,1581.24,2026-03,成熟,S039
P00129,智能小家电-129,智能小家电,品牌04,1213.77,682.82,2025-11,成熟,S040
P00130,厨房电器-130,厨房电器,品牌11,819.6,394.3,2025-12,成长,S041
P00131,生活电器-131,生活电器,品牌18,1061.71,613.0,2025-11,成熟,S042
P00132,个护健康-132,个护健康,品牌05,796.27,448.99,2025-12,成熟,S043
P00133,影音娱乐-133,影音娱乐,品牌12,1269.61,651.26,2025-11,成长,S044
P00134,智能家居-134,智能家居,品牌19,1515.16,766.09,2026-02,成熟,S045
P00135,数码配件-135,数码配件,品牌06,225.46,117.86,2025-12,成熟,S001
P00136,办公设备-136,办公设备,品牌13,2095.01,1314.82,2026-02,成长,S002
P00137,智能小家电-137,智能小家电,品牌20,1334.98,758.86,2025-12,成熟,S003
P00138,厨房电器-138,厨房电器,品牌07,1649.54,1178.66,2025-12,成长,S004
P00139,生活电器-139,生活电器,品牌14,1004.28,483.82,2025-11,尾货,S005
P00140,个护健康-140,个护健康,品牌01,412.91,288.78,2025-10,成长,S006
P00141,影音娱乐-141,影音娱乐,品牌08,2551.34,1238.72,2025-09,成熟,S007
P00142,智能家居-142,智能家居,品牌15,732.88,412.45,2025-12,成熟,S008
P00143,数码配件-143,数码配件,品牌02,282.99,153.58,2025-11,成熟,S009
P00144,办公设备-144,办公设备,品牌09,2225.07,1474.28,2026-03,成熟,S010
P00145,智能小家电-145,智能小家电,品牌16,537.37,337.53,2026-03,尾货,S011
P00146,厨房电器-146,厨房电器,品牌03,1816.82,1202.54,2025-08,新品,S012
P00147,生活电器-147,生活电器,品牌10,530.02,289.05,2025-08,新品,S013
P00148,个护健康-148,个护健康,品牌17,327.02,217.05,2025-08,新品,S014
P00149,影音娱乐-149,影音娱乐,品牌04,2818.71,2023.74,2025-11,成熟,S015
P00150,智能家居-150,智能家居,品牌11,1017.47,611.28,2026-02,尾货,S016
P00151,数码配件-151,数码配件,品牌18,196.57,100.53,2025-10,新品,S017
P00152,办公设备-152,办公设备,品牌05,1062.63,669.26,2026-02,成长,S018
P00153,智能小家电-153,智能小家电,品牌12,1248.84,764.59,2026-03,成长,S019
P00154,厨房电器-154,厨房电器,品牌19,2060.28,1379.2,2025-12,尾货,S020
P00155,生活电器-155,生活电器,品牌06,722.36,481.0,2026-01,成熟,S021
P00156,个护健康-156,个护健康,品牌13,497.3,248.67,2025-08,成熟,S022
P00157,影音娱乐-157,影音娱乐,品牌20,1503.48,903.03,2025-10,成熟,S023
P00158,智能家居-158,智能家居,品牌07,1578.09,1049.93,2025-12,成长,S024
P00159,数码配件-159,数码配件,品牌14,276.39,194.5,2025-11,成熟,S025
P00160,办公设备-160,办公设备,品牌01,1814.8,1236.32,2025-10,尾货,S026
P00161,智能小家电-161,智能小家电,品牌08,833.54,452.41,2026-03,成长,S027
P00162,厨房电器-162,厨房电器,品牌15,1604.34,960.85,2026-01,成长,S028
P00163,生活电器-163,生活电器,品牌02,540.3,294.76,2025-09,成长,S029
P00164,个护健康-164,个护健康,品牌09,500.95,241.57,2025-08,成熟,S030
P00165,影音娱乐-165,影音娱乐,品牌16,2315.31,1244.77,2025-12,成熟,S031
P00166,智能家居-166,智能家居,品牌03,885.88,625.62,2025-10,成熟,S032
P00167,数码配件-167,数码配件,品牌10,168.54,114.56,2025-12,成熟,S033
P00168,办公设备-168,办公设备,品牌17,2453.23,1269.48,2026-03,新品,S034
P00169,智能小家电-169,智能小家电,品牌04,1003.46,576.13,2025-12,成熟,S035
P00170,厨房电器-170,厨房电器,品牌11,730.43,475.91,2025-08,成熟,S036
P00171,生活电器-171,生活电器,品牌18,731.1,401.41,2026-01,成熟,S037
P00172,个护健康-172,个护健康,品牌05,794.28,411.4,2026-01,成长,S038
P00173,影音娱乐-173,影音娱乐,品牌12,1301.51,924.64,2026-03,成长,S039
P00174,智能家居-174,智能家居,品牌19,1725.52,1122.6,2025-08,成长,S040
P00175,数码配件-175,数码配件,品牌06,145.26,76.22,2025-10,新品,S041
P00176,办公设备-176,办公设备,品牌13,1110.36,754.73,2025-08,成长,S042
P00177,智能小家电-177,智能小家电,品牌20,983.54,559.03,2025-11,成熟,S043
P00178,厨房电器-178,厨房电器,品牌07,1066.31,688.7,2025-08,成熟,S044
P00179,生活电器-179,生活电器,品牌14,1108.24,594.67,2026-02,成长,S045
P00180,个护健康-180,个护健康,品牌01,295.86,199.03,2025-10,成熟,S001
P00181,影音娱乐-181,影音娱乐,品牌08,1116.59,788.76,2025-08,成熟,S002
P00182,智能家居-182,智能家居,品牌15,1333.12,813.3,2026-03,尾货,S003
P00183,数码配件-183,数码配件,品牌02,225.69,134.69,2026-03,新品,S004
P00184,办公设备-184,办公设备,品牌09,970.03,521.56,2025-10,成熟,S005
P00185,智能小家电-185,智能小家电,品牌16,522.38,324.61,2025-11,成熟,S006
P00186,厨房电器-186,厨房电器,品牌03,1263.22,689.87,2025-11,成熟,S007
P00187,生活电器-187,生活电器,品牌10,565.35,328.44,2026-03,新品,S008
P00188,个护健康-188,个护健康,品牌17,556.29,369.25,2026-03,成长,S009
P00189,影音娱乐-189,影音娱乐,品牌04,2891.13,1404.64,2026-03,成熟,S010
P00190,智能家居-190,智能家居,品牌11,1492.07,750.4,2025-11,成长,S011
P00191,数码配件-191,数码配件,品牌18,117.25,81.08,2025-08,成熟,S012
P00192,办公设备-192,办公设备,品牌05,2097.38,1039.87,2025-08,成长,S013
P00193,智能小家电-193,智能小家电,品牌12,961.32,584.79,2026-03,成长,S014
P00194,厨房电器-194,厨房电器,品牌19,1318.69,928.51,2025-10,成熟,S015
P00195,生活电器-195,生活电器,品牌06,851.44,578.51,2026-02,成熟,S016
P00196,个护健康-196,个护健康,品牌13,645.83,351.52,2025-10,成熟,S017
P00197,影音娱乐-197,影音娱乐,品牌20,2297.55,1306.15,2026-01,新品,S018
P00198,智能家居-198,智能家居,品牌07,1583.51,924.18,2025-11,成熟,S019
P00199,数码配件-199,数码配件,品牌14,142.36,93.32,2025-08,成熟,S020
P00200,办公设备-200,办公设备,品牌01,2589.62,1641.87,2025-08,成熟,S021
P00201,智能小家电-201,智能小家电,品牌08,1084.78,594.69,2025-09,新品,S022
P00202,厨房电器-202,厨房电器,品牌15,978.77,582.53,2025-10,成熟,S023
P00203,生活电器-203,生活电器,品牌02,580.57,320.12,2025-12,成长,S024
P00204,个护健康-204,个护健康,品牌09,768.5,513.4,2025-11,成长,S025
P00205,影音娱乐-205,影音娱乐,品牌16,2373.09,1394.45,2025-11,尾货,S026
P00206,智能家居-206,智能家居,品牌03,1678.69,866.19,2026-02,成长,S027
P00207,数码配件-207,数码配件,品牌10,311.45,221.23,2025-09,尾货,S028
P00208,办公设备-208,办公设备,品牌17,2031.54,1155.61,2025-11,新品,S029
P00209,智能小家电-209,智能小家电,品牌04,1084.81,710.01,2026-03,成熟,S030
P00210,厨房电器-210,厨房电器,品牌11,847.09,589.49,2026-01,新品,S031
P00211,生活电器-211,生活电器,品牌18,405.36,200.61,2026-03,成长,S032
P00212,个护健康-212,个护健康,品牌05,389.03,246.68,2026-01,成熟,S033
P00213,影音娱乐-213,影音娱乐,品牌12,3018.82,1937.03,2026-01,尾货,S034
P00214,智能家居-214,智能家居,品牌19,680.6,351.07,2025-12,成长,S035
P00215,数码配件-215,数码配件,品牌06,297.59,179.23,2026-03,成长,S036
P00216,办公设备-216,办公设备,品牌13,1922.59,1017.61,2025-12,成长,S037
P00217,智能小家电-217,智能小家电,品牌20,988.33,490.54,2025-11,新品,S038
P00218,厨房电器-218,厨房电器,品牌07,1644.4,1183.34,2025-10,成熟,S039
P00219,生活电器-219,生活电器,品牌14,761.03,439.68,2025-12,成长,S040
P00220,个护健康-220,个护健康,品牌01,658.51,390.9,2026-03,尾货,S041
P00221,影音娱乐-221,影音娱乐,品牌08,1584.07,893.17,2025-09,成长,S042
P00222,智能家居-222,智能家居,品牌15,1147.31,810.74,2025-09,尾货,S043
P00223,数码配件-223,数码配件,品牌02,276.24,155.29,2026-02,成长,S044
P00224,办公设备-224,办公设备,品牌09,1889.3,982.09,2026-02,成长,S045
P00225,智能小家电-225,智能小家电,品牌16,554.91,278.04,2025-11,成熟,S001
P00226,厨房电器-226,厨房电器,品牌03,1207.4,717.86,2026-02,成熟,S002
P00227,生活电器-227,生活电器,品牌10,596.81,314.17,2025-09,尾货,S003
P00228,个护健康-228,个护健康,品牌17,744.81,530.92,2026-03,成熟,S004
P00229,影音娱乐-229,影音娱乐,品牌04,2590.41,1247.69,2025-09,成长,S005
P00230,智能家居-230,智能家居,品牌11,1706.1,982.46,2025-09,成熟,S006
P00231,数码配件-231,数码配件,品牌18,197.01,114.37,2025-09,成长,S007
P00232,办公设备-232,办公设备,品牌05,1888.43,1171.9,2026-01,成熟,S008
P00233,智能小家电-233,智能小家电,品牌12,1071.15,693.41,2026-02,新品,S009
P00234,厨房电器-234,厨房电器,品牌19,1897.97,1265.26,2025-11,成长,S010
P00235,生活电器-235,生活电器,品牌06,1087.42,751.48,2025-11,成熟,S011
P00236,个护健康-236,个护健康,品牌13,367.78,243.99,2025-12,成熟,S012
P00237,影音娱乐-237,影音娱乐,品牌20,1194.66,658.92,2026-03,成长,S013
P00238,智能家居-238,智能家居,品牌07,1775.09,895.78,2026-03,成长,S014
P00239,数码配件-239,数码配件,品牌14,302.16,213.04,2025-11,成长,S015
P00240,办公设备-240,办公设备,品牌01,2502.98,1590.48,2026-03,成熟,S016
P00241,智能小家电-241,智能小家电,品牌08,1195.03,840.06,2026-03,成熟,S017
P00242,厨房电器-242,厨房电器,品牌15,1966.09,1045.43,2025-09,成长,S018
P00243,生活电器-243,生活电器,品牌02,690.97,352.68,2026-02,成长,S019
P00244,个护健康-244,个护健康,品牌09,675.64,333.48,2025-10,尾货,S020
P00245,影音娱乐-245,影音娱乐,品牌16,2601.34,1438.29,2025-12,新品,S021
P00246,智能家居-246,智能家居,品牌03,1807.56,1074.13,2025-09,成熟,S022
P00247,数码配件-247,数码配件,品牌10,208.83,115.75,2025-09,成熟,S023
P00248,办公设备-248,办公设备,品牌17,1804.91,1187.48,2025-11,成熟,S024
P00249,智能小家电-249,智能小家电,品牌04,1302.59,937.84,2025-08,成熟,S025
P00250,厨房电器-250,厨房电器,品牌11,1012.81,666.2,2025-08,成熟,S026
P00251,生活电器-251,生活电器,品牌18,858.07,582.49,2025-10,成长,S027
P00252,个护健康-252,个护健康,品牌05,671.73,479.76,2025-11,成熟,S028
P00253,影音娱乐-253,影音娱乐,品牌12,2818.74,1431.31,2025-09,成熟,S029
P00254,智能家居-254,智能家居,品牌19,684.46,458.87,2025-11,成熟,S030
P00255,数码配件-255,数码配件,品牌06,297.87,196.37,2025-10,成长,S031
P00256,办公设备-256,办公设备,品牌13,1371.16,851.8,2025-12,成熟,S032
P00257,智能小家电-257,智能小家电,品牌20,833.96,431.43,2026-01,成熟,S033
P00258,厨房电器-258,厨房电器,品牌07,1617.85,1005.27,2025-09,成长,S034
P00259,生活电器-259,生活电器,品牌14,546.18,320.19,2025-11,新品,S035
P00260,个护健康-260,个护健康,品牌01,711.9,462.63,2025-08,成熟,S036
P00261,影音娱乐-261,影音娱乐,品牌08,2377.09,1196.81,2025-09,尾货,S037
P00262,智能家居-262,智能家居,品牌15,1467.19,723.47,2025-10,成长,S038
P00263,数码配件-263,数码配件,品牌02,157.12,87.25,2026-01,新品,S039
P00264,办公设备-264,办公设备,品牌09,971.7,495.53,2025-11,新品,S040
P00265,智能小家电-265,智能小家电,品牌16,697.64,376.5,2025-12,成熟,S041
P00266,厨房电器-266,厨房电器,品牌03,1812.58,1049.93,2026-02,成熟,S042
P00267,生活电器-267,生活电器,品牌10,746.37,531.22,2025-09,尾货,S043
P00268,个护健康-268,个护健康,品牌17,600.93,366.01,2025-11,成熟,S044
P00269,影音娱乐-269,影音娱乐,品牌04,1911.2,1289.06,2026-01,成熟,S045
P00270,智能家居-270,智能家居,品牌11,1195.97,642.59,2026-02,成长,S001
P00271,数码配件-271,数码配件,品牌18,142.35,70.72,2025-09,成熟,S002
P00272,办公设备-272,办公设备,品牌05,1488.23,741.12,2026-02,成长,S003
P00273,智能小家电-273,智能小家电,品牌12,1247.13,832.84,2025-10,成长,S004
P00274,厨房电器-274,厨房电器,品牌19,1752.84,1042.23,2025-11,新品,S005
P00275,生活电器-275,生活电器,品牌06,1000.42,632.25,2026-02,新品,S006
P00276,个护健康-276,个护健康,品牌13,690.8,432.22,2025-11,尾货,S007
P00277,影音娱乐-277,影音娱乐,品牌20,2519.55,1787.01,2026-02,新品,S008
P00278,智能家居-278,智能家居,品牌07,1565.13,959.07,2025-08,成长,S009
P00279,数码配件-279,数码配件,品牌14,110.38,56.61,2025-11,尾货,S010
P00280,办公设备-280,办公设备,品牌01,2140.21,1251.34,2025-08,成长,S011
P00281,智能小家电-281,智能小家电,品牌08,991.0,583.76,2025-09,新品,S012
P00282,厨房电器-282,厨房电器,品牌15,1947.02,1372.56,2026-01,成长,S013
P00283,生活电器-283,生活电器,品牌02,849.59,533.95,2025-09,新品,S014
P00284,个护健康-284,个护健康,品牌09,796.8,568.65,2025-12,成熟,S015
P00285,影音娱乐-285,影音娱乐,品牌16,1307.04,660.31,2026-01,成长,S016
P00286,智能家居-286,智能家居,品牌03,1404.56,950.6,2026-03,成熟,S017
P00287,数码配件-287,数码配件,品牌10,195.2,115.5,2025-10,成熟,S018
P00288,办公设备-288,办公设备,品牌17,1507.17,979.24,2025-08,尾货,S019
P00289,智能小家电-289,智能小家电,品牌04,555.4,269.95,2026-02,成长,S020
P00290,厨房电器-290,厨房电器,品牌11,1580.68,927.5,2026-02,成熟,S021
P00291,生活电器-291,生活电器,品牌18,443.54,318.0,2026-01,成熟,S022
P00292,个护健康-292,个护健康,品牌05,713.03,469.19,2026-02,成熟,S023
P00293,影音娱乐-293,影音娱乐,品牌12,1678.03,840.61,2026-01,成长,S024
P00294,智能家居-294,智能家居,品牌19,819.91,444.09,2025-10,新品,S025
P00295,数码配件-295,数码配件,品牌06,260.14,185.38,2026-02,新品,S026
P00296,办公设备-296,办公设备,品牌13,2568.11,1594.16,2025-10,成熟,S027
P00297,智能小家电-297,智能小家电,品牌20,629.47,331.44,2025-11,成长,S028
P00298,厨房电器-298,厨房电器,品牌07,1156.79,575.59,2025-11,尾货,S029
P00299,生活电器-299,生活电器,品牌14,748.6,476.7,2025-09,成熟,S030
P00300,个护健康-300,个护健康,品牌01,784.36,418.55,2025-08,成熟,S031
P00301,影音娱乐-301,影音娱乐,品牌08,1362.12,753.16,2025-09,尾货,S032
P00302,智能家居-302,智能家居,品牌15,1621.66,1028.22,2025-10,成长,S033
P00303,数码配件-303,数码配件,品牌02,264.73,142.74,2026-02,成熟,S034
P00304,办公设备-304,办公设备,品牌09,1640.14,1006.97,2026-01,成熟,S035
P00305,智能小家电-305,智能小家电,品牌16,961.72,588.73,2026-02,新品,S036
P00306,厨房电器-306,厨房电器,品牌03,2063.03,1370.36,2026-03,成熟,S037
P00307,生活电器-307,生活电器,品牌10,833.16,523.55,2025-11,成熟,S038
P00308,个护健康-308,个护健康,品牌17,352.88,228.48,2026-03,成长,S039
P00309,影音娱乐-309,影音娱乐,品牌04,1046.83,537.24,2025-11,新品,S040
P00310,智能家居-310,智能家居,品牌11,1178.43,574.69,2025-08,成熟,S041
P00311,数码配件-311,数码配件,品牌18,305.5,208.69,2025-11,成长,S042
P00312,办公设备-312,办公设备,品牌05,2091.68,1066.15,2025-12,尾货,S043
P00313,智能小家电-313,智能小家电,品牌12,627.68,442.2,2026-02,成熟,S044
P00314,厨房电器-314,厨房电器,品牌19,832.86,430.94,2025-12,成长,S045
P00315,生活电器-315,生活电器,品牌06,656.27,328.98,2025-10,成长,S001
P00316,个护健康-316,个护健康,品牌13,778.19,419.28,2025-12,新品,S002
P00317,影音娱乐-317,影音娱乐,品牌20,1722.79,1197.36,2026-03,成长,S003
P00318,智能家居-318,智能家居,品牌07,1173.77,806.72,2025-08,尾货,S004
P00319,数码配件-319,数码配件,品牌14,261.94,180.08,2025-11,新品,S005
P00320,办公设备-320,办公设备,品牌01,891.95,574.94,2025-10,成熟,S006
P00321,智能小家电-321,智能小家电,品牌08,912.37,639.77,2026-01,成长,S007
P00322,厨房电器-322,厨房电器,品牌15,1591.08,834.34,2025-11,成熟,S008
P00323,生活电器-323,生活电器,品牌02,759.04,371.92,2025-12,成熟,S009
P00324,个护健康-324,个护健康,品牌09,623.95,401.2,2025-11,尾货,S010
P00325,影音娱乐-325,影音娱乐,品牌16,3064.18,1833.37,2026-03,成熟,S011
P00326,智能家居-326,智能家居,品牌03,792.14,531.8,2026-03,新品,S012
P00327,数码配件-327,数码配件,品牌10,161.8,111.47,2025-11,成熟,S013
P00328,办公设备-328,办公设备,品牌17,2541.88,1822.57,2025-08,成熟,S014
P00329,智能小家电-329,智能小家电,品牌04,963.02,609.88,2025-08,成熟,S015
