customer_id,region,city_tier,segment,signup_month,age_group,member_level,acquisition_source
C000080,东北,二线,价格敏感,2026-06,45-54,金卡,线下活动
C000081,华东,二线,高价值,2026-01,18-24,普通,老客推荐
C000082,华中,二线,高价值,2026-04,25-34,黑金,老客推荐
C000083,华东,三线及以下,新客,2025-09,45-54,普通,内容种草
C000084,西南,二线,价格敏感,2025-08,35-44,银卡,老客推荐
C000085,东北,二线,高价值,2026-01,25-34,金卡,老客推荐
C000086,华东,一线,沉睡,2025-08,35-44,银卡,内容种草
C000087,华东,新一线,价格敏感,2026-02,35-44,普通,直播引流
C000088,华中,三线及以下,价格敏感,2025-11,18-24,普通,直播引流
C000089,华北,新一线,成长型,2026-05,35-44,普通,老客推荐
C000090,华中,一线,成长型,2026-07,25-34,普通,自然搜索
C000091,华北,三线及以下,成长型,2026-07,35-44,普通,自然搜索
C000092,华东,一线,新客,2026-05,45-54,金卡,线下活动
C000093,西南,二线,沉睡,2026-07,18-24,普通,自然搜索
C000094,东北,二线,价格敏感,2025-09,25-34,普通,直播引流
C000095,华东,三线及以下,沉睡,2026-01,35-44,普通,内容种草
C000096,东北,一线,高价值,2026-02,45-54,普通,内容种草
C000097,华东,一线,成长型,2025-12,25-34,黑金,直播引流
C000098,华北,二线,新客,2025-10,55+,普通,自然搜索
C000099,华南,二线,成长型,2026-06,35-44,普通,内容种草
C000100,华北,三线及以下,沉睡,2025-12,35-44,普通,直播引流
C000101,华中,一线,沉睡,2026-03,18-24,银卡,直播引流
C000102,华南,二线,成长型,2026-07,45-54,金卡,自然搜索
C000103,华北,新一线,新客,2026-04,25-34,银卡,线下活动
C000104,华北,新一线,价格敏感,2025-12,18-24,银卡,内容种草
C000105,华东,一线,成长型,2026-04,18-24,银卡,内容种草
C000106,华中,三线及以下,成长型,2026-01,35-44,普通,老客推荐
C000107,华东,二线,沉睡,2026-07,25-34,普通,直播引流
C000108,华南,一线,价格敏感,2025-11,55+,普通,自然搜索
C000109,西南,二线,成长型,2025-08,45-54,普通,直播引流
C000110,华中,一线,成长型,2026-05,35-44,银卡,线下活动
C000111,华中,一线,新客,2026-06,35-44,普通,内容种草
C000112,东北,一线,成长型,2025-11,25-34,普通,线下活动
C000113,华北,二线,价格敏感,2026-07,18-24,银卡,线下活动
C000114,西南,二线,价格敏感,2025-09,18-24,金卡,自然搜索
C000115,西南,二线,新客,2026-05,25-34,银卡,自然搜索
C000116,华中,三线及以下,新客,2025-11,35-44,普通,内容种草
C000117,华东,新一线,成长型,2025-09,45-54,银卡,老客推荐
C000118,东北,一线,高价值,2025-09,18-24,普通,自然搜索
C000119,华东,三线及以下,成长型,2025-09,25-34,银卡,老客推荐
C000120,华东,新一线,新客,2026-01,55+,金卡,线下活动
C000121,华南,三线及以下,沉睡,2026-02,35-44,普通,老客推荐
C000122,华南,三线及以下,成长型,2026-01,55+,黑金,内容种草
C000123,西南,二线,成长型,2026-02,45-54,银卡,内容种草
C000124,东北,一线,高价值,2026-05,45-54,金卡,自然搜索
C000125,华中,二线,价格敏感,2026-01,55+,金卡,直播引流
C000126,华东,三线及以下,价格敏感,2026-03,25-34,银卡,内容种草
C000127,华南,一线,价格敏感,2026-06,35-44,普通,直播引流
C000128,华南,一线,沉睡,2025-09,45-54,普通,直播引流
C000129,华中,新一线,成长型,2026-05,18-24,普通,自然搜索
C000130,东北,新一线,价格敏感,2025-12,55+,金卡,内容种草
C000131,西南,二线,价格敏感,2026-06,18-24,普通,线下活动
C000132,华中,一线,沉睡,2026-05,35-44,金卡,线下活动
C000133,东北,新一线,成长型,2025-08,55+,普通,内容种草
C000134,华中,三线及以下,高价值,2026-02,18-24,金卡,直播引流
C000135,华东,一线,价格敏感,2026-07,45-54,银卡,直播引流
C000136,华南,二线,价格敏感,2026-04,25-34,银卡,线下活动
C000137,华东,二线,成长型,2026-02,35-44,普通,内容种草
C000138,东北,一线,沉睡,2026-02,18-24,金卡,线下活动
C000139,华东,三线及以下,成长型,2025-09,25-34,普通,线下活动
C000140,华北,三线及以下,价格敏感,2026-02,25-34,普通,老客推荐
C000141,华东,三线及以下,沉睡,2025-09,25-34,普通,老客推荐
C000142,东北,二线,沉睡,2026-01,55+,普通,直播引流
C000143,西南,二线,新客,2025-08,18-24,银卡,线下活动
C000144,华北,新一线,新客,2026-07,25-34,银卡,线下活动
C000145,华南,新一线,新客,2026-04,35-44,银卡,老客推荐
C000146,华东,新一线,成长型,2025-08,25-34,普通,直播引流
C000147,华南,一线,新客,2026-01,35-44,银卡,线下活动
C000148,华北,三线及以下,新客,2026-07,55+,黑金,老客推荐
C000149,华东,二线,价格敏感,2026-05,55+,黑金,老客推荐
C000150,华中,三线及以下,价格敏感,2026-01,25-34,金卡,自然搜索
C000151,华东,二线,新客,2026-02,35-44,金卡,线下活动
C000152,华北,二线,成长型,2025-10,55+,金卡,内容种草
C000153,华北,一线,高价值,2025-10,35-44,普通,直播引流
C000154,华中,二线,价格敏感,2026-01,18-24,普通,老客推荐
C000155,华南,一线,高价值,2025-08,18-24,银卡,线下活动
C000156,华南,三线及以下,价格敏感,2026-02,25-34,金卡,线下活动
C000157,华南,二线,高价值,2025-11,55+,银卡,直播引流
C000158,华东,三线及以下,成长型,2026-03,25-34,黑金,自然搜索
C000159,华中,二线,成长型,2026-04,45-54,普通,线下活动
C000160,西南,三线及以下,新客,2025-12,25-34,银卡,内容种草
C000161,华东,二线,价格敏感,2026-02,18-24,金卡,内容种草
C000162,华中,新一线,价格敏感,2025-12,18-24,普通,线下活动
C000163,华东,三线及以下,成长型,2026-01,18-24,普通,老客推荐
C000164,东北,三线及以下,新客,2026-02,18-24,普通,直播引流
C000165,华南,新一线,成长型,2026-05,18-24,黑金,内容种草
C000166,华中,新一线,成长型,2026-02,25-34,银卡,直播引流
C000167,华中,一线,新客,2026-06,55+,普通,自然搜索
C000168,华东,一线,新客,2025-10,25-34,普通,直播引流
C000169,华东,三线及以下,价格敏感,2026-05,25-34,普通,自然搜索
C000170,华南,新一线,高价值,2026-04,35-44,银卡,线下活动
C000171,东北,新一线,成长型,2026-07,45-54,金卡,直播引流
C000172,华东,三线及以下,成长型,2026-07,55+,金卡,自然搜索
C000173,华东,新一线,价格敏感,2025-09,25-34,银卡,内容种草
C000174,华南,三线及以下,成长型,2026-02,55+,金卡,内容种草
C000175,华中,二线,成长型,2026-04,35-44,普通,线下活动
C000176,华东,三线及以下,沉睡,2026-06,55+,普通,直播引流
C000177,东北,一线,价格敏感,2025-09,25-34,银卡,内容种草
C000178,西南,三线及以下,成长型,2026-01,18-24,金卡,老客推荐
C000179,华南,三线及以下,成长型,2025-12,55+,普通,直播引流
C000180,华中,新一线,新客,2026-07,18-24,银卡,线下活动
C000181,华北,二线,成长型,2025-12,35-44,金卡,内容种草
C000182,华中,三线及以下,成长型,2026-07,55+,普通,自然搜索
C000183,西南,新一线,新客,2025-08,55+,普通,内容种草
C000184,华东,三线及以下,新客,2025-10,45-54,普通,老客推荐
C000185,西南,一线,新客,2026-06,35-44,黑金,自然搜索
C000186,华东,一线,新客,2026-04,18-24,普通,内容种草
C000187,东北,新一线,价格敏感,2026-05,18-24,银卡,线下活动
C000188,西南,新一线,高价值,2025-08,25-34,普通,线下活动
C000189,华中,三线及以下,价格敏感,2026-07,45-54,普通,老客推荐
C000190,华南,三线及以下,成长型,2025-10,45-54,普通,直播引流
C000191,华北,新一线,成长型,2026-03,18-24,普通,自然搜索
C000192,华南,一线,新客,2026-05,55+,普通,直播引流
C000193,华南,一线,成长型,2026-03,45-54,银卡,直播引流
C000194,华南,新一线,价格敏感,2026-07,18-24,普通,线下活动
C000195,华中,二线,高价值,2026-03,25-34,普通,线下活动
C000196,西南,三线及以下,新客,2025-11,18-24,普通,老客推荐
C000197,西南,三线及以下,价格敏感,2025-11,55+,银卡,直播引流
C000198,华东,二线,价格敏感,2025-08,35-44,黑金,自然搜索
C000199,华南,二线,新客,2026-05,25-34,金卡,自然搜索
C000200,华中,二线,新客,2026-04,35-44,普通,内容种草
C000201,华中,三线及以下,新客,2025-12,18-24,普通,直播引流
C000202,西南,一线,价格敏感,2026-02,45-54,普通,内容种草
C000203,西南,新一线,新客,2025-12,45-54,金卡,直播引流
C000204,华东,三线及以下,沉睡,2026-02,35-44,银卡,内容种草
C000205,华南,二线,新客,2025-09,18-24,普通,自然搜索
C000206,华北,新一线,沉睡,2026-01,45-54,金卡,老客推荐
C000207,华中,二线,价格敏感,2026-01,45-54,金卡,直播引流
C000208,西南,一线,新客,2025-11,25-34,普通,直播引流
C000209,东北,二线,价格敏感,2026-05,45-54,金卡,自然搜索
C000210,华东,二线,沉睡,2026-06,25-34,金卡,直播引流
C000211,华东,二线,成长型,2026-06,45-54,普通,自然搜索
C000212,华东,三线及以下,成长型,2025-12,35-44,金卡,线下活动
C000213,华南,二线,价格敏感,2025-09,55+,金卡,老客推荐
C000214,华中,一线,成长型,2026-04,35-44,银卡,直播引流
C000215,华中,一线,价格敏感,2025-12,18-24,普通,线下活动
C000216,华中,三线及以下,高价值,2025-11,18-24,金卡,线下活动
C000217,华南,二线,价格敏感,2026-05,18-24,黑金,直播引流
C000218,华东,二线,新客,2026-04,25-34,金卡,内容种草
C000219,东北,三线及以下,成长型,2025-11,25-34,普通,内容种草
C000220,华东,新一线,新客,2026-05,55+,金卡,老客推荐
C000221,东北,三线及以下,高价值,2026-07,25-34,普通,内容种草
C000222,东北,新一线,新客,2025-12,25-34,金卡,自然搜索
C000223,华北,二线,沉睡,2026-06,25-34,银卡,老客推荐
C000224,华北,一线,沉睡,2026-01,25-34,银卡,线下活动
C000225,华东,二线,沉睡,2026-02,18-24,金卡,内容种草
C000226,华北,一线,沉睡,2025-12,45-54,银卡,老客推荐
C000227,华北,三线及以下,沉睡,2026-07,55+,金卡,老客推荐
C000228,华东,三线及以下,沉睡,2026-03,45-54,银卡,自然搜索
C000229,华北,二线,沉睡,2025-10,45-54,普通,直播引流
C000230,华东,三线及以下,价格敏感,2026-07,18-24,普通,线下活动
C000231,东北,二线,成长型,2026-04,35-44,普通,老客推荐
C000232,华中,一线,成长型,2025-08,18-24,普通,自然搜索
C000233,华南,一线,沉睡,2026-07,55+,银卡,老客推荐
C000234,西南,三线及以下,价格敏感,2025-12,45-54,普通,老客推荐
C000235,华东,二线,成长型,2025-09,25-34,银卡,线下活动
C000236,华北,三线及以下,价格敏感,2025-12,45-54,银卡,内容种草
C000237,西南,一线,价格敏感,2026-05,18-24,银卡,老客推荐
C000238,华南,三线及以下,成长型,2026-07,55+,银卡,线下活动
C000239,华东,一线,成长型,2025-10,55+,普通,内容种草
C000240,华北,新一线,价格敏感,2025-08,35-44,普通,自然搜索
C000241,华北,二线,沉睡,2025-08,35-44,普通,自然搜索
C000242,华东,二线,成长型,2026-03,35-44,黑金,老客推荐
C000243,华东,二线,沉睡,2025-12,45-54,普通,线下活动
C000244,华东,二线,成长型,2025-08,35-44,普通,内容种草
C000245,华东,一线,成长型,2026-05,55+,金卡,内容种草
C000246,华东,二线,沉睡,2026-06,45-54,普通,老客推荐
C000247,华中,一线,价格敏感,2025-12,35-44,银卡,线下活动
C000248,华东,二线,成长型,2025-08,18-24,普通,内容种草
C000249,西南,三线及以下,成长型,2026-01,25-34,金卡,内容种草
C000250,东北,二线,高价值,2026-02,55+,普通,线下活动
C000251,华南,三线及以下,沉睡,2026-02,18-24,银卡,线下活动
C000252,华南,三线及以下,价格敏感,2025-09,25-34,黑金,自然搜索
C000253,华东,二线,新客,2025-11,18-24,银卡,自然搜索
C000254,华中,三线及以下,价格敏感,2026-02,35-44,普通,自然搜索
C000255,东北,二线,价格敏感,2026-03,55+,普通,自然搜索
C000256,华北,二线,新客,2026-04,18-24,银卡,内容种草
C000257,华南,二线,沉睡,2025-11,55+,普通,线下活动
C000258,华北,新一线,沉睡,2026-07,18-24,银卡,老客推荐
C000259,华北,二线,新客,2025-12,25-34,金卡,老客推荐
C000260,东北,新一线,新客,2026-02,55+,普通,线下活动
C000261,东北,新一线,新客,2026-06,25-34,银卡,自然搜索
C000262,华中,新一线,新客,2025-12,55+,普通,老客推荐
C000263,西南,新一线,价格敏感,2026-06,35-44,普通,自然搜索
C000264,东北,一线,成长型,2026-02,35-44,银卡,直播引流
C000265,华中,一线,成长型,2025-12,18-24,普通,直播引流
C000266,西南,二线,价格敏感,2026-06,45-54,普通,线下活动
C000267,华东,一线,新客,2026-07,45-54,银卡,自然搜索
C000268,华南,二线,高价值,2026-01,18-24,普通,内容种草
C000269,华中,新一线,新客,2026-05,18-24,普通,内容种草
C000270,华中,二线,成长型,2025-10,45-54,普通,直播引流
C000271,华中,新一线,价格敏感,2025-09,55+,普通,线下活动
C000272,东北,二线,成长型,2026-02,45-54,金卡,线下活动
C000273,华南,三线及以下,高价值,2026-04,45-54,普通,自然搜索
C000274,华南,一线,高价值,2025-12,35-44,普通,直播引流
C000275,华东,三线及以下,新客,2025-09,25-34,普通,直播引流
C000276,东北,新一线,价格敏感,2025-08,35-44,普通,老客推荐
C000277,华北,新一线,高价值,2025-11,25-34,普通,内容种草
C000278,华中,三线及以下,价格敏感,2025-09,18-24,金卡,自然搜索
C000279,华北,二线,沉睡,2025-10,18-24,黑金,直播引流
C000280,华北,一线,新客,2025-11,25-34,黑金,直播引流
C000281,华东,新一线,成长型,2026-04,55+,银卡,自然搜索
C000282,华南,新一线,沉睡,2025-10,25-34,金卡,内容种草
C000283,华南,一线,价格敏感,2025-11,18-24,普通,内容种草
C000284,华北,二线,沉睡,2025-12,55+,普通,老客推荐
C000285,东北,三线及以下,新客,2026-07,25-34,普通,直播引流
C000286,西南,一线,成长型,2026-03,25-34,银卡,老客推荐
C000287,华东,三线及以下,沉睡,2026-01,18-24,银卡,自然搜索
C000288,华东,三线及以下,价格敏感,2025-12,35-44,金卡,直播引流
C000289,东北,二线,价格敏感,2026-06,18-24,银卡,线下活动
C000290,华北,一线,高价值,2026-02,35-44,黑金,内容种草
C000291,华北,二线,新客,2025-12,25-34,银卡,内容种草
C000292,西南,三线及以下,沉睡,2025-08,25-34,普通,自然搜索
C000293,西南,三线及以下,价格敏感,2026-04,55+,普通,老客推荐
C000294,华北,三线及以下,成长型,2026-07,55+,普通,老客推荐
C000295,西南,二线,沉睡,2026-02,25-34,黑金,自然搜索
C000296,华东,二线,高价值,2025-10,35-44,普通,自然搜索
C000297,华东,二线,价格敏感,2026-01,25-34,金卡,自然搜索
C000298,华东,三线及以下,成长型,2026-07,18-24,银卡,直播引流
C000299,华北,新一线,成长型,2025-10,35-44,普通,自然搜索
C000300,华南,新一线,新客,2026-02,18-24,银卡,自然搜索
C000301,华东,新一线,价格敏感,2025-08,35-44,银卡,直播引流
C000302,华东,二线,新客,2026-03,35-44,黑金,内容种草
C000303,华南,新一线,成长型,2026-07,55+,银卡,直播引流
C000304,西南,新一线,沉睡,2025-11,55+,普通,自然搜索
C000305,华南,三线及以下,高价值,2025-08,45-54,银卡,线下活动
C000306,华南,二线,成长型,2025-08,45-54,黑金,线下活动
C000307,华中,新一线,价格敏感,2025-12,25-34,普通,直播引流
C000308,华北,一线,价格敏感,2026-02,55+,普通,直播引流
C000309,华中,二线,成长型,2026-06,35-44,银卡,直播引流
C000310,华中,二线,高价值,2025-11,45-54,普通,直播引流
C000311,华南,三线及以下,沉睡,2026-05,35-44,普通,老客推荐
C000312,华北,一线,新客,2026-07,25-34,金卡,老客推荐
C000313,东北,二线,价格敏感,2026-04,55+,黑金,线下活动
C000314,华东,一线,价格敏感,2025-11,25-34,普通,直播引流
C000315,华中,一线,成长型,2026-07,35-44,银卡,自然搜索
C000316,西南,新一线,沉睡,2026-06,25-34,金卡,内容种草
C000317,华东,二线,成长型,2026-04,25-34,普通,自然搜索
C000318,华东,新一线,成长型,2025-11,55+,金卡,线下活动
C000319,华东,新一线,高价值,2026-03,35-44,普通,老客推荐
C000320,华南,一线,成长型,2025-10,45-54,金卡,老客推荐
C000321,华中,二线,新客,2025-09,45-54,普通,老客推荐
C000322,华中,一线,价格敏感,2026-07,25-34,普通,自然搜索
C000323,华北,三线及以下,沉睡,2025-09,25-34,普通,内容种草
C000324,华北,一线,价格敏感,2025-08,25-34,银卡,老客推荐
C000325,西南,新一线,沉睡,2026-07,18-24,银卡,内容种草
C000326,华东,二线,价格敏感,2026-06,18-24,普通,线下活动
C000327,华东,二线,沉睡,2025-11,25-34,普通,自然搜索
C000328,华南,新一线,高价值,2025-09,18-24,金卡,线下活动
C000329,华东,三线及以下,新客,2025-12,25-34,金卡,线下活动
C000330,华东,一线,沉睡,2025-12,18-24,银卡,直播引流
C000331,华北,二线,成长型,2025-08,35-44,银卡,线下活动
C000332,华东,新一线,成长型,2025-08,45-54,金卡,直播引流
C000333,华南,新一线,新客,2026-04,35-44,普通,自然搜索
C000334,华北,三线及以下,高价值,2026-01,25-34,黑金,直播引流
C000335,华南,二线,成长型,2026-04,35-44,金卡,直播引流
C000336,华东,二线,价格敏感,2025-10,45-54,普通,内容种草
C000337,华南,新一线,价格敏感,2026-06,18-24,金卡,直播引流
C000338,华南,新一线,成长型,2026-07,45-54,金卡,老客推荐
C000339,华北,三线及以下,新客,2025-09,45-54,银卡,老客推荐
C000340,华中,三线及以下,新客,2026-03,35-44,银卡,线下活动
C000341,东北,新一线,沉睡,2026-01,35-44,普通,直播引流
C000342,西南,二线,成长型,2026-06,45-54,普通,内容种草
C000343,西南,三线及以下,成长型,2025-11,18-24,金卡,直播引流
C000344,华东,三线及以下,沉睡,2026-06,25-34,普通,线下活动
C000345,华中,二线,成长型,2025-12,45-54,普通,直播引流
C000346,华南,二线,沉睡,2025-11,18-24,银卡,线下活动
C000347,华南,新一线,价格敏感,2026-06,55+,普通,内容种草
C000348,西南,新一线,成长型,2026-02,18-24,银卡,老客推荐
C000349,华中,一线,新客,2026-04,25-34,金卡,线下活动
C000350,华中,新一线,成长型,2025-08,35-44,银卡,自然搜索
C000351,华中,三线及以下,高价值,2026-05,55+,银卡,内容种草
C000352,西南,二线,沉睡,2026-05,25-34,银卡,内容种草
C000353,华南,二线,价格敏感,2025-08,18-24,黑金,自然搜索
C000354,华中,二线,新客,2025-10,35-44,普通,线下活动
C000355,华北,新一线,成长型,2026-06,35-44,银卡,线下活动
C000356,华南,三线及以下,成长型,2025-11,35-44,金卡,直播引流
C000357,华东,一线,成长型,2026-04,18-24,银卡,内容种草
C000358,华北,二线,成长型,2026-06,18-24,金卡,直播引流
C000359,华北,二线,成长型,2026-06,18-24,黑金,老客推荐
C000360,华南,二线,新客,2026-02,55+,金卡,内容种草
C000361,华南,二线,新客,2025-10,55+,普通,自然搜索
C000362,东北,二线,成长型,2026-04,45-54,银卡,老客推荐
C000363,华南,三线及以下,成长型,2026-03,55+,普通,直播引流
C000364,华南,二线,成长型,2026-04,25-34,黑金,内容种草
C000365,华中,三线及以下,成长型,2026-02,55+,金卡,老客推荐
C000366,西南,一线,价格敏感,2026-04,55+,银卡,线下活动
C000367,华南,三线及以下,成长型,2026-01,25-34,金卡,自然搜索
C000368,华中,一线,成长型,2025-12,45-54,普通,直播引流
C000369,华中,新一线,新客,2025-12,35-44,普通,线下活动
C000370,华东,三线及以下,价格敏感,2025-08,18-24,银卡,内容种草
C000371,华中,新一线,沉睡,2026-02,35-44,银卡,直播引流
C000372,东北,新一线,价格敏感,2026-04,18-24,银卡,自然搜索
C000373,华北,新一线,价格敏感,2025-08,45-54,银卡,内容种草
C000374,华东,二线,沉睡,2026-05,35-44,金卡,自然搜索
C000375,华南,二线,成长型,2026-01,18-24,金卡,自然搜索
C000376,华南,二线,新客,2025-12,55+,金卡,直播引流
C000377,华南,二线,沉睡,2025-08,35-44,普通,内容种草
C000378,华北,二线,成长型,2026-04,55+,银卡,自然搜索
C000379,华中,二线,成长型,2025-10,25-34,银卡,直播引流
C000380,华东,新一线,高价值,2026-07,35-44,普通,线下活动
C000381,西南,一线,新客,2025-10,35-44,金卡,直播引流
C000382,华中,三线及以下,成长型,2025-11,18-24,普通,自然搜索
C000383,西南,新一线,成长型,2026-06,45-54,普通,老客推荐
C000384,西南,二线,新客,2026-06,55+,银卡,老客推荐
C000385,东北,新一线,成长型,2026-04,45-54,金卡,线下活动
C000386,华南,三线及以下,成长型,2026-03,45-54,银卡,老客推荐
C000387,西南,三线及以下,价格敏感,2025-10,18-24,普通,内容种草
C000388,华北,新一线,价格敏感,2026-07,18-24,普通,内容种草
C000389,华北,二线,沉睡,2025-09,45-54,金卡,自然搜索
C000390,华中,二线,新客,2026-05,35-44,普通,内容种草
C000391,华南,二线,成长型,2025-09,18-24,银卡,直播引流
C000392,华南,二线,成长型,2026-07,25-34,银卡,线下活动
C000393,华中,一线,价格敏感,2025-11,45-54,金卡,自然搜索
C000394,华北,二线,高价值,2026-05,55+,银卡,线下活动
C000395,华南,二线,沉睡,2026-07,45-54,普通,自然搜索
C000396,华北,新一线,价格敏感,2026-01,55+,普通,直播引流
C000397,西南,三线及以下,价格敏感,2026-01,18-24,普通,自然搜索
C000398,西南,新一线,新客,2026-03,55+,银卡,自然搜索
C000399,华北,二线,新客,2026-04,18-24,普通,内容种草
C000400,华北,二线,新客,2026-05,18-24,普通,自然搜索
C000401,华南,二线,沉睡,2025-10,45-54,黑金,直播引流
C000402,华北,二线,高价值,2025-12,45-54,普通,直播引流
C000403,华南,三线及以下,新客,2025-08,18-24,黑金,线下活动
C000404,华北,新一线,沉睡,2026-06,18-24,金卡,老客推荐
C000405,华南,二线,高价值,2025-08,35-44,金卡,直播引流
C000406,华东,三线及以下,成长型,2026-02,18-24,普通,线下活动
C000407,华北,二线,价格敏感,2025-12,25-34,银卡,老客推荐
C000408,东北,新一线,成长型,2026-02,18-24,金卡,自然搜索
C000409,华东,二线,沉睡,2026-02,35-44,银卡,自然搜索
C000410,华北,三线及以下,沉睡,2025-12,45-54,黑金,老客推荐
C000411,华北,三线及以下,成长型,2026-02,45-54,金卡,直播引流
C000412,华东,二线,成长型,2026-07,35-44,普通,自然搜索
C000413,西南,二线,成长型,2026-07,45-54,金卡,内容种草
C000414,华东,二线,价格敏感,2025-11,35-44,金卡,线下活动
C000415,华北,二线,新客,2026-04,45-54,银卡,内容种草
C000416,华北,二线,新客,2025-08,45-54,银卡,老客推荐
C000417,华北,一线,沉睡,2026-07,25-34,普通,直播引流
C000418,西南,二线,价格敏感,2026-07,35-44,银卡,直播引流
C000419,华东,新一线,高价值,2026-06,25-34,普通,老客推荐
